Entity,Code,Year,Population density of the capital city,Population density of the capital city (projected) (Projected),Population density of the capital city (Annotations),Population density of the capital city (projected) (Annotations)
Dominican Republic,DOM,2050,,8526.597,,Santo Domingo
Dominican Republic,DOM,2055,,8446.892,,Santo Domingo
Dominican Republic,DOM,2060,,8332.634,,Santo Domingo
Dominican Republic,DOM,2065,,8323.322,,Santo Domingo
Dominican Republic,DOM,2070,,8184.6577,,Santo Domingo
Dominican Republic,DOM,2075,,8149.0757,,Santo Domingo
Dominican Republic,DOM,2080,,8083.7373,,Santo Domingo
Dominican Republic,DOM,2085,,7988.199,,Santo Domingo
Dominican Republic,DOM,2090,,7869.8276,,Santo Domingo
Dominican Republic,DOM,2095,,7726.844,,Santo Domingo
Dominican Republic,DOM,2100,,7579.7393,,Santo Domingo
East Timor,TLS,1975,2299.6177,,Dili,
East Timor,TLS,1980,2676.0784,,Dili,
East Timor,TLS,1985,2969.3484,,Dili,
East Timor,TLS,1990,3357.2708,,Dili,
East Timor,TLS,1995,3706.4465,,Dili,
East Timor,TLS,2000,3216.143,,Dili,
East Timor,TLS,2005,3837.6472,,Dili,
East Timor,TLS,2010,4953.2905,,Dili,
East Timor,TLS,2015,5908.074,,Dili,
East Timor,TLS,2020,7373.8325,7373.8325,Dili,Dili
East Timor,TLS,2025,,7500.8174,,Dili
East Timor,TLS,2030,,7684.1694,,Dili
East Timor,TLS,2035,,7984.446,,Dili
East Timor,TLS,2040,,8286.981,,Dili
East Timor,TLS,2045,,7841.2524,,Dili
East Timor,TLS,2050,,8037.801,,Dili
East Timor,TLS,2055,,8188.991,,Dili
East Timor,TLS,2060,,8320.46,,Dili
East Timor,TLS,2065,,8403.608,,Dili
East Timor,TLS,2070,,7811.4023,,Dili
East Timor,TLS,2075,,7861.266,,Dili
East Timor,TLS,2080,,7842.745,,Dili
East Timor,TLS,2085,,7831.184,,Dili
East Timor,TLS,2090,,7786.671,,Dili
East Timor,TLS,2095,,7750.764,,Dili
East Timor,TLS,2100,,7711.8994,,Dili
Ecuador,ECU,1975,3481.3867,,Quito,
Ecuador,ECU,1980,4002.813,,Quito,
Ecuador,ECU,1985,4345.6304,,Quito,
Ecuador,ECU,1990,4264.2007,,Quito,
Ecuador,ECU,1995,4526.8584,,Quito,
Ecuador,ECU,2000,4851.04,,Quito,
Ecuador,ECU,2005,5208.9214,,Quito,
Ecuador,ECU,2010,5704.982,,Quito,
Ecuador,ECU,2015,6104.5107,,Quito,
Ecuador,ECU,2020,6548.3335,6548.3335,Quito,Quito
Ecuador,ECU,2025,,6618.573,,Quito
Ecuador,ECU,2030,,6532.4985,,Quito
Ecuador,ECU,2035,,6479.1777,,Quito
Ecuador,ECU,2040,,6572.5635,,Quito
Ecuador,ECU,2045,,6605.633,,Quito
Ecuador,ECU,2050,,6622.6206,,Quito
Ecuador,ECU,2055,,6681.502,,Quito
Ecuador,ECU,2060,,6665.846,,Quito
Ecuador,ECU,2065,,6677.902,,Quito
Ecuador,ECU,2070,,6654.5996,,Quito
Ecuador,ECU,2075,,6611.194,,Quito
Ecuador,ECU,2080,,6534.093,,Quito
Ecuador,ECU,2085,,6437.8716,,Quito
Ecuador,ECU,2090,,6343.6626,,Quito
Ecuador,ECU,2095,,6221.6206,,Quito
Ecuador,ECU,2100,,6103.229,,Quito
Egypt,EGY,1975,12218.25,,Cairo,
Egypt,EGY,1980,12256.392,,Cairo,
Egypt,EGY,1985,12188.373,,Cairo,
Egypt,EGY,1990,12595.61,,Cairo,
Egypt,EGY,1995,12896.207,,Cairo,
Egypt,EGY,2000,13787.704,,Cairo,
Egypt,EGY,2005,14027.159,,Cairo,
Egypt,EGY,2010,14263.267,,Cairo,
Egypt,EGY,2015,14650.527,,Cairo,
Egypt,EGY,2020,15687.617,15687.617,Cairo,Cairo
Egypt,EGY,2025,,15541.703,,Cairo
Egypt,EGY,2030,,15324.111,,Cairo
Egypt,EGY,2035,,14838.346,,Cairo
Egypt,EGY,2040,,14757.874,,Cairo
Egypt,EGY,2045,,15137.39,,Cairo
Egypt,EGY,2050,,15368.45,,Cairo
Egypt,EGY,2055,,15620.943,,Cairo
Egypt,EGY,2060,,15637.628,,Cairo
Egypt,EGY,2065,,15730.303,,Cairo
Egypt,EGY,2070,,15829.833,,Cairo
Egypt,EGY,2075,,15935.431,,Cairo
Egypt,EGY,2080,,16055.112,,Cairo
Egypt,EGY,2085,,16127.938,,Cairo
Egypt,EGY,2090,,16116.385,,Cairo
Egypt,EGY,2095,,16089.765,,Cairo
Egypt,EGY,2100,,16082.0205,,Cairo
El Salvador,SLV,1975,6647.025,,San Salvador,
El Salvador,SLV,1980,6723.33,,San Salvador,
El Salvador,SLV,1985,6673.331,,San Salvador,
El Salvador,SLV,1990,7036.8687,,San Salvador,
El Salvador,SLV,1995,7189.2876,,San Salvador,
El Salvador,SLV,2000,6835.9673,,San Salvador,
El Salvador,SLV,2005,6589.2505,,San Salvador,
El Salvador,SLV,2010,6256.293,,San Salvador,
El Salvador,SLV,2015,6157.4536,,San Salvador,
El Salvador,SLV,2020,6066.883,6066.883,San Salvador,San Salvador
El Salvador,SLV,2025,,6072.097,,San Salvador
El Salvador,SLV,2030,,6089.8975,,San Salvador
El Salvador,SLV,2035,,6136.0215,,San Salvador
El Salvador,SLV,2040,,6137.4556,,San Salvador
El Salvador,SLV,2045,,6150.883,,San Salvador
El Salvador,SLV,2050,,6134.8354,,San Salvador
El Salvador,SLV,2055,,6107.0874,,San Salvador
El Salvador,SLV,2060,,6049.8877,,San Salvador
El Salvador,SLV,2065,,5982.5103,,San Salvador
El Salvador,SLV,2070,,5889.4995,,San Salvador
El Salvador,SLV,2075,,5817.4014,,San Salvador
El Salvador,SLV,2080,,5694.2153,,San Salvador
El Salvador,SLV,2085,,5554.434,,San Salvador
El Salvador,SLV,2090,,5433.7017,,San Salvador
El Salvador,SLV,2095,,5271.993,,San Salvador
El Salvador,SLV,2100,,5119.724,,San Salvador
Equatorial Guinea,GNQ,1995,3674.0632,,Malabo,
Equatorial Guinea,GNQ,2000,5676.93,,Malabo,
Equatorial Guinea,GNQ,2005,4867.267,,Malabo,
Equatorial Guinea,GNQ,2010,5215.8354,,Malabo,
Equatorial Guinea,GNQ,2015,6666.1924,,Malabo,
Equatorial Guinea,GNQ,2020,10720.863,10720.863,Malabo,Malabo
Equatorial Guinea,GNQ,2025,,10200.456,,Malabo
Equatorial Guinea,GNQ,2030,,10257.543,,Malabo
Equatorial Guinea,GNQ,2035,,10320.899,,Malabo
Equatorial Guinea,GNQ,2040,,10583.293,,Malabo
Equatorial Guinea,GNQ,2045,,10651.253,,Malabo
Equatorial Guinea,GNQ,2050,,10872.193,,Malabo
Equatorial Guinea,GNQ,2055,,11571.81,,Malabo
Equatorial Guinea,GNQ,2060,,12335.204,,Malabo
Equatorial Guinea,GNQ,2065,,13021.804,,Malabo
Equatorial Guinea,GNQ,2070,,13677.434,,Malabo
Equatorial Guinea,GNQ,2075,,14175.424,,Malabo
Equatorial Guinea,GNQ,2080,,13750.011,,Malabo
Equatorial Guinea,GNQ,2085,,13898.217,,Malabo
Equatorial Guinea,GNQ,2090,,14289.742,,Malabo
Equatorial Guinea,GNQ,2095,,13558.469,,Malabo
Equatorial Guinea,GNQ,2100,,13740.3,,Malabo
Eritrea,ERI,1975,6076.1455,,Asmara,
Eritrea,ERI,1980,6023.705,,Asmara,
Eritrea,ERI,1985,6032.4287,,Asmara,
Eritrea,ERI,1990,6391.445,,Asmara,
Eritrea,ERI,1995,6044.6987,,Asmara,
Eritrea,ERI,2000,6367.558,,Asmara,
Eritrea,ERI,2005,7049.3135,,Asmara,
Eritrea,ERI,2010,7091.7817,,Asmara,
Eritrea,ERI,2015,7507.9424,,Asmara,
Eritrea,ERI,2020,5642.201,5642.201,Asmara,Asmara
Eritrea,ERI,2025,,5435.006,,Asmara
Eritrea,ERI,2030,,5539.857,,Asmara
Eritrea,ERI,2035,,5481.9346,,Asmara
Eritrea,ERI,2040,,5544.2046,,Asmara
Eritrea,ERI,2045,,5497.8877,,Asmara
Eritrea,ERI,2050,,5513.5825,,Asmara
Eritrea,ERI,2055,,5051.622,,Asmara
Eritrea,ERI,2060,,4961.426,,Asmara
Eritrea,ERI,2065,,5093.9976,,Asmara
Eritrea,ERI,2070,,5049.1353,,Asmara
Eritrea,ERI,2075,,5046.548,,Asmara
Eritrea,ERI,2080,,4917.6445,,Asmara
Eritrea,ERI,2085,,4767.1416,,Asmara
Eritrea,ERI,2090,,4733.347,,Asmara
Eritrea,ERI,2095,,4774.1543,,Asmara
Eritrea,ERI,2100,,4758.7246,,Asmara
Estonia,EST,1975,3834.437,,Tallinn,
Estonia,EST,1980,4029.0383,,Tallinn,
Estonia,EST,1985,4141.6064,,Tallinn,
Estonia,EST,1990,4183.779,,Tallinn,
Estonia,EST,1995,3887.7144,,Tallinn,
Estonia,EST,2000,3747.136,,Tallinn,
Estonia,EST,2005,3695.193,,Tallinn,
Estonia,EST,2010,3458.6306,,Tallinn,
Estonia,EST,2015,3423.668,,Tallinn,
Estonia,EST,2020,3623.7817,3623.7817,Tallinn,Tallinn
Estonia,EST,2025,,3693.4934,,Tallinn
Estonia,EST,2030,,3649.4065,,Tallinn
Estonia,EST,2035,,3614.6716,,Tallinn
Estonia,EST,2040,,3588.5352,,Tallinn
Estonia,EST,2045,,3558.7258,,Tallinn
Estonia,EST,2050,,3525.0408,,Tallinn
Estonia,EST,2055,,3486.7317,,Tallinn
Estonia,EST,2060,,3437.7947,,Tallinn
Estonia,EST,2065,,3381.8252,,Tallinn
Estonia,EST,2070,,3327.057,,Tallinn
Estonia,EST,2075,,3344.9355,,Tallinn
Estonia,EST,2080,,3287.993,,Tallinn
Estonia,EST,2085,,3222.299,,Tallinn
Estonia,EST,2090,,3282.543,,Tallinn
Estonia,EST,2095,,3223.9111,,Tallinn
Estonia,EST,2100,,3166.145,,Tallinn
Eswatini,SWZ,2050,,2832.9995,,
Eswatini,SWZ,2055,,2865.6873,,
Eswatini,SWZ,2060,,2878.8035,,
Eswatini,SWZ,2065,,2885.983,,
Eswatini,SWZ,2070,,2875.7573,,
Eswatini,SWZ,2075,,2872.1643,,
Eswatini,SWZ,2080,,2856.9995,,
Eswatini,SWZ,2085,,2839.9329,,
Eswatini,SWZ,2090,,2814.042,,
Eswatini,SWZ,2095,,2787.2786,,
Eswatini,SWZ,2100,,2754.9204,,
Ethiopia,ETH,1975,5679.0933,,Addis Ababa,
Ethiopia,ETH,1980,5573.3413,,Addis Ababa,
Ethiopia,ETH,1985,5411.3794,,Addis Ababa,
Ethiopia,ETH,1990,5980.169,,Addis Ababa,
Ethiopia,ETH,1995,6599.575,,Addis Ababa,
Ethiopia,ETH,2000,7176.668,,Addis Ababa,
Ethiopia,ETH,2005,7650.717,,Addis Ababa,
Ethiopia,ETH,2010,8745.7705,,Addis Ababa,
Ethiopia,ETH,2015,10262.615,,Addis Ababa,
Ethiopia,ETH,2020,12872.589,12872.589,Addis Ababa,Addis Ababa
Ethiopia,ETH,2025,,13713.098,,Addis Ababa
Ethiopia,ETH,2030,,13803.283,,Addis Ababa
Ethiopia,ETH,2035,,13554.84,,Addis Ababa
Ethiopia,ETH,2040,,14175.39,,Addis Ababa
Ethiopia,ETH,2045,,13994.191,,Addis Ababa
Ethiopia,ETH,2050,,14206.298,,Addis Ababa
Ethiopia,ETH,2055,,14342.13,,Addis Ababa
Ethiopia,ETH,2060,,14755.551,,Addis Ababa
Ethiopia,ETH,2065,,14728.829,,Addis Ababa
Ethiopia,ETH,2070,,14586.873,,Addis Ababa
Ethiopia,ETH,2075,,14534.945,,Addis Ababa
Ethiopia,ETH,2080,,14524.354,,Addis Ababa
Ethiopia,ETH,2085,,14378.747,,Addis Ababa
Ethiopia,ETH,2090,,14100.276,,Addis Ababa
Ethiopia,ETH,2095,,14118.675,,Addis Ababa
Ethiopia,ETH,2100,,14123,,Addis Ababa
Fiji,FJI,1975,2075.063,,Suva,
Fiji,FJI,1980,2300.6724,,Suva,
Fiji,FJI,1985,2407.0857,,Suva,
Fiji,FJI,1990,2736.6753,,Suva,
Fiji,FJI,1995,2659.3047,,Suva,
Fiji,FJI,2000,2885.5369,,Suva,
Fiji,FJI,2005,3077.5098,,Suva,
Fiji,FJI,2010,3186.8428,,Suva,
Fiji,FJI,2015,3267.5635,,Suva,
Fiji,FJI,2020,3293.5273,3293.5273,Suva,Suva
Fiji,FJI,2025,,3137.2456,,Suva
Fiji,FJI,2030,,3052.0684,,Suva
Fiji,FJI,2035,,3070.9512,,Suva
Fiji,FJI,2040,,3082.5732,,Suva
Fiji,FJI,2045,,3097.7415,,Suva
Fiji,FJI,2050,,3097.9734,,Suva
Fiji,FJI,2055,,3102.6348,,Suva
Fiji,FJI,2060,,3095.2815,,Suva
Fiji,FJI,2065,,3090.5056,,Suva
Fiji,FJI,2070,,3075.7734,,Suva
Fiji,FJI,2075,,3061.3643,,Suva
Fiji,FJI,2080,,3042.6934,,Suva
Fiji,FJI,2085,,3036.5867,,Suva
Fiji,FJI,2090,,3025.5217,,Suva
Fiji,FJI,2095,,3016.1843,,Suva
Fiji,FJI,2100,,3000.0532,,Suva
Finland,FIN,1975,2602.5176,,Helsinki,
Finland,FIN,1980,2891.558,,Helsinki,
Finland,FIN,1985,2910.058,,Helsinki,
Finland,FIN,1990,2945.628,,Helsinki,
Finland,FIN,1995,2741.9292,,Helsinki,
Finland,FIN,2000,2858.4248,,Helsinki,
Finland,FIN,2005,2881.3386,,Helsinki,
Finland,FIN,2010,2852.2827,,Helsinki,
Finland,FIN,2015,2565.7043,,Helsinki,
Finland,FIN,2020,2616.2903,2616.2903,Helsinki,Helsinki
Finland,FIN,2025,,2676.2974,,Helsinki
Finland,FIN,2030,,2676.3132,,Helsinki
Finland,FIN,2035,,2676.8586,,Helsinki
Finland,FIN,2040,,2673.1833,,Helsinki
Finland,FIN,2045,,2669.63,,Helsinki
Finland,FIN,2050,,2663.8433,,Helsinki
Finland,FIN,2055,,2655.4204,,Helsinki
Finland,FIN,2060,,2637.209,,Helsinki
Finland,FIN,2065,,2627.4512,,Helsinki
Finland,FIN,2070,,2620.0125,,Helsinki
Finland,FIN,2075,,2603.445,,Helsinki
Finland,FIN,2080,,2590.7615,,Helsinki
Finland,FIN,2085,,2576.873,,Helsinki
Finland,FIN,2090,,2562.6543,,Helsinki
Finland,FIN,2095,,2547.6636,,Helsinki
Finland,FIN,2100,,2531.2034,,Helsinki
France,FRA,1975,5864.0273,,Paris,
France,FRA,1980,5890.5986,,Paris,
France,FRA,1985,5988.5366,,Paris,
France,FRA,1990,6198.569,,Paris,
France,FRA,1995,6277.7417,,Paris,
France,FRA,2000,6396,,Paris,
France,FRA,2005,6474.183,,Paris,
France,FRA,2010,6631.4463,,Paris,
France,FRA,2015,6733.207,,Paris,
France,FRA,2020,6772.798,6772.798,Paris,Paris
France,FRA,2025,,6793.5703,,Paris
France,FRA,2030,,6788.7583,,Paris
France,FRA,2035,,6789.0547,,Paris
France,FRA,2040,,6780.576,,Paris
France,FRA,2045,,6775.512,,Paris
France,FRA,2050,,6748.258,,Paris
France,FRA,2055,,6719.088,,Paris
France,FRA,2060,,6683.473,,Paris
France,FRA,2065,,6652.217,,Paris
France,FRA,2070,,6635.2676,,Paris
France,FRA,2075,,6592.9976,,Paris
France,FRA,2080,,6589.725,,Paris
France,FRA,2085,,6589.4917,,Paris
France,FRA,2090,,6586.507,,Paris
France,FRA,2095,,6567.0767,,Paris
France,FRA,2100,,6551.741,,Paris
French Guiana,GUF,2010,2329.6072,,Cayenne,
French Guiana,GUF,2015,2435.6223,,Cayenne,
French Guiana,GUF,2020,1926.7749,1926.7749,Cayenne,Cayenne
French Guiana,GUF,2025,,1966.3146,,Cayenne
French Guiana,GUF,2030,,2075.559,,Cayenne
French Guiana,GUF,2035,,2222.4426,,Cayenne
French Guiana,GUF,2040,,2387.5674,,Cayenne
French Guiana,GUF,2045,,2523.4177,,Cayenne
French Guiana,GUF,2050,,2275.8462,,Cayenne
French Guiana,GUF,2055,,2388.768,,Cayenne
French Guiana,GUF,2060,,2502.27,,Cayenne
French Guiana,GUF,2065,,2599.2356,,Cayenne
French Guiana,GUF,2070,,2660.5884,,Cayenne
French Guiana,GUF,2075,,2699.7764,,Cayenne
French Guiana,GUF,2080,,2660.7373,,Cayenne
French Guiana,GUF,2085,,2732.945,,Cayenne
French Guiana,GUF,2090,,2723.0007,,Cayenne
French Guiana,GUF,2095,,2777.2776,,Cayenne
French Guiana,GUF,2100,,2737.3481,,Cayenne
French Polynesia,PYF,1980,1483.9133,,Papeete,
French Polynesia,PYF,1985,1635.7814,,Papeete,
French Polynesia,PYF,1990,1781.9209,,Papeete,
French Polynesia,PYF,1995,1891.3967,,Papeete,
French Polynesia,PYF,2000,2017.3832,,Papeete,
French Polynesia,PYF,2005,2132.2744,,Papeete,
French Polynesia,PYF,2010,2043.7253,,Papeete,
French Polynesia,PYF,2015,2063.9888,,Papeete,
French Polynesia,PYF,2020,2070.1504,2070.1504,Papeete,Papeete
French Polynesia,PYF,2025,,2053.477,,Papeete
French Polynesia,PYF,2030,,2075.026,,Papeete
French Polynesia,PYF,2035,,2094.8337,,Papeete
French Polynesia,PYF,2040,,2087.4043,,Papeete
French Polynesia,PYF,2045,,2094.3274,,Papeete
French Polynesia,PYF,2050,,2084.2163,,Papeete
French Polynesia,PYF,2055,,2077.1382,,Papeete
French Polynesia,PYF,2060,,2074.5557,,Papeete
French Polynesia,PYF,2065,,2060.401,,Papeete
French Polynesia,PYF,2070,,2041.5151,,Papeete
French Polynesia,PYF,2075,,2021.5631,,Papeete
French Polynesia,PYF,2080,,2110.0488,,Papeete
French Polynesia,PYF,2085,,2081.5774,,Papeete
French Polynesia,PYF,2090,,2053.0488,,Papeete
French Polynesia,PYF,2095,,2017.866,,Papeete
French Polynesia,PYF,2100,,1984.8346,,Papeete
Gabon,GAB,1975,1773.4004,,Libreville,
Gabon,GAB,1980,2096.6091,,Libreville,
Gabon,GAB,1985,2444.471,,Libreville,
Gabon,GAB,1990,2845.883,,Libreville,
Gabon,GAB,1995,2973.2744,,Libreville,
Gabon,GAB,2000,3292.673,,Libreville,
Gabon,GAB,2005,3475.2163,,Libreville,
Gabon,GAB,2010,3854.8433,,Libreville,
Gabon,GAB,2015,4197.0913,,Libreville,
Gabon,GAB,2020,5196.2344,5196.2344,Libreville,Libreville
Gabon,GAB,2025,,5264.0903,,Libreville
Gabon,GAB,2030,,5418.235,,Libreville
Gabon,GAB,2035,,5595.298,,Libreville
Gabon,GAB,2040,,5728.5664,,Libreville
Gabon,GAB,2045,,5692.2983,,Libreville
Gabon,GAB,2050,,5742.1753,,Libreville
Gabon,GAB,2055,,5713.608,,Libreville
Gabon,GAB,2060,,5687.2793,,Libreville
Gabon,GAB,2065,,5707.249,,Libreville
Gabon,GAB,2070,,5802.368,,Libreville
Gabon,GAB,2075,,5893.068,,Libreville
Gabon,GAB,2080,,5884.4697,,Libreville
Gabon,GAB,2085,,5931.216,,Libreville
Gabon,GAB,2090,,6028.4155,,Libreville
Gabon,GAB,2095,,6119.512,,Libreville
Gabon,GAB,2100,,6135.9126,,Libreville
Gambia,GMB,2040,,6560.98,,
Gambia,GMB,2045,,5353.0137,,
Gambia,GMB,2050,,5745.0005,,
Gambia,GMB,2055,,6101.2515,,
Gambia,GMB,2060,,6429.7666,,
Gambia,GMB,2065,,6704.3496,,
Gambia,GMB,2070,,6938.871,,
Gambia,GMB,2075,,7123.5425,,
Gambia,GMB,2080,,7268.5825,,
Gambia,GMB,2085,,7374.5503,,
Gambia,GMB,2090,,7441.941,,
Gambia,GMB,2095,,7481.576,,
Gambia,GMB,2100,,7490.4253,,
Georgia,GEO,1975,7370.7407,,Tbilisi,
Georgia,GEO,1980,8023.7812,,Tbilisi,
Georgia,GEO,1985,8430.482,,Tbilisi,
Georgia,GEO,1990,8638.428,,Tbilisi,
Georgia,GEO,1995,8427.963,,Tbilisi,
Georgia,GEO,2000,8092.489,,Tbilisi,
Georgia,GEO,2005,8112.857,,Tbilisi,
Georgia,GEO,2010,8307.554,,Tbilisi,
Georgia,GEO,2015,8434.079,,Tbilisi,
Georgia,GEO,2020,7797.6885,7797.6885,Tbilisi,Tbilisi
Georgia,GEO,2025,,8095.9487,,Tbilisi
Georgia,GEO,2030,,8079.65,,Tbilisi
Georgia,GEO,2035,,7981.3354,,Tbilisi
Georgia,GEO,2040,,7992.3374,,Tbilisi
Georgia,GEO,2045,,8007.581,,Tbilisi
Georgia,GEO,2050,,7998.788,,Tbilisi
Georgia,GEO,2055,,7986.3135,,Tbilisi
Georgia,GEO,2060,,7951.134,,Tbilisi
Georgia,GEO,2065,,7786.5386,,Tbilisi
Georgia,GEO,2070,,7504.55,,Tbilisi
Georgia,GEO,2075,,7454.391,,Tbilisi
Georgia,GEO,2080,,7407.598,,Tbilisi
Georgia,GEO,2085,,7357.6113,,Tbilisi
Georgia,GEO,2090,,7298.9253,,Tbilisi
Georgia,GEO,2095,,7235.897,,Tbilisi
Georgia,GEO,2100,,7153.03,,Tbilisi
Germany,DEU,1975,4888.397,,Berlin,
Germany,DEU,1980,4731.741,,Berlin,
Germany,DEU,1985,4703.431,,Berlin,
Germany,DEU,1990,5120.137,,Berlin,
Germany,DEU,1995,5126.1304,,Berlin,
Germany,DEU,2000,4872.817,,Berlin,
Germany,DEU,2005,4936.3613,,Berlin,
Germany,DEU,2010,4886.944,,Berlin,
Germany,DEU,2015,4971.4497,,Berlin,
Germany,DEU,2020,5160.893,5160.893,Berlin,Berlin
Germany,DEU,2025,,5190.828,,Berlin
Germany,DEU,2030,,5123.05,,Berlin
Germany,DEU,2035,,5076.481,,Berlin
Germany,DEU,2040,,5039.51,,Berlin
Germany,DEU,2045,,4988.984,,Berlin
Germany,DEU,2050,,4931.6543,,Berlin
Germany,DEU,2055,,4876.6777,,Berlin
Germany,DEU,2060,,4813.971,,Berlin
Germany,DEU,2065,,4783.702,,Berlin
Germany,DEU,2070,,4742.3447,,Berlin
Germany,DEU,2075,,4702.807,,Berlin
Germany,DEU,2080,,4684.815,,Berlin
Germany,DEU,2085,,4654.925,,Berlin
Germany,DEU,2090,,4635.473,,Berlin
Germany,DEU,2095,,4624.898,,Berlin
Germany,DEU,2100,,4614.8755,,Berlin
Ghana,GHA,1975,3255.553,,Accra,
Ghana,GHA,1980,3261.3708,,Accra,
Ghana,GHA,1985,3273.3362,,Accra,
Ghana,GHA,1990,3596.9268,,Accra,
Ghana,GHA,1995,3683.7864,,Accra,
Ghana,GHA,2000,4068.6458,,Accra,
Ghana,GHA,2005,4247.928,,Accra,
Ghana,GHA,2010,4500.7197,,Accra,
Ghana,GHA,2015,4584.658,,Accra,
Ghana,GHA,2020,4898.33,4898.33,Accra,Accra
Ghana,GHA,2025,,4998.016,,Accra
Ghana,GHA,2030,,5215.4375,,Accra
Ghana,GHA,2035,,5365.2197,,Accra
Ghana,GHA,2040,,5510.2607,,Accra
Ghana,GHA,2045,,5568.676,,Accra
Ghana,GHA,2050,,5693.79,,Accra
Ghana,GHA,2055,,5728.7593,,Accra
Ghana,GHA,2060,,5750.3115,,Accra
Ghana,GHA,2065,,5824.313,,Accra
Ghana,GHA,2070,,5823.0825,,Accra
Ghana,GHA,2075,,5867.375,,Accra
Ghana,GHA,2080,,5855.9844,,Accra
Ghana,GHA,2085,,5887.918,,Accra
Ghana,GHA,2090,,5890.4893,,Accra
Ghana,GHA,2095,,5893.042,,Accra
Ghana,GHA,2100,,5893.0146,,Accra
Gibraltar,GIB,1975,2944.0317,,,
Gibraltar,GIB,1980,2996.2383,,,
Gibraltar,GIB,1985,2867.8271,,,
Gibraltar,GIB,1990,2715.9631,,,
Gibraltar,GIB,1995,2665.541,,,
Gibraltar,GIB,2000,2802.037,,,
Gibraltar,GIB,2005,2856.4512,,,
Gibraltar,GIB,2010,2866.0613,,,
Gibraltar,GIB,2015,2899.0562,,,
Gibraltar,GIB,2020,2831.2644,2831.2644,,
Gibraltar,GIB,2025,,2778.5952,,
Gibraltar,GIB,2030,,2867.9238,,
Gibraltar,GIB,2035,,2933.443,,
Gibraltar,GIB,2040,,2972.0789,,
Gibraltar,GIB,2045,,2992.2188,,
Gibraltar,GIB,2050,,2994.5186,,
Gibraltar,GIB,2055,,2989.8774,,
Gibraltar,GIB,2060,,2970.6772,,
Gibraltar,GIB,2065,,2943.159,,
Gibraltar,GIB,2070,,2913.963,,
Gibraltar,GIB,2075,,3113.7307,,
Gibraltar,GIB,2080,,3079.5986,,
Gibraltar,GIB,2085,,3041.3674,,
Gibraltar,GIB,2090,,3004.651,,
Gibraltar,GIB,2095,,2968.6677,,
Gibraltar,GIB,2100,,2929.5168,,
Greece,GRC,1975,7660.6484,,Athens,
Greece,GRC,1980,8440.56,,Athens,
Greece,GRC,1985,8337.216,,Athens,
Greece,GRC,1990,8201.251,,Athens,
Greece,GRC,1995,8215.139,,Athens,
Greece,GRC,2000,8237.181,,Athens,
Greece,GRC,2005,8288.374,,Athens,
Greece,GRC,2010,8313.165,,Athens,
Greece,GRC,2015,8182.7666,,Athens,
Greece,GRC,2020,8032.4805,8032.4805,Athens,Athens
Greece,GRC,2025,,7678.166,,Athens
Greece,GRC,2030,,7699.2173,,Athens
Greece,GRC,2035,,7601.7505,,Athens
Greece,GRC,2040,,7507.965,,Athens
Greece,GRC,2045,,7412.9565,,Athens
Greece,GRC,2050,,7294.2427,,Athens
Greece,GRC,2055,,7174.59,,Athens
Greece,GRC,2060,,7023.5854,,Athens
Greece,GRC,2065,,6870.446,,Athens
Greece,GRC,2070,,6725.7197,,Athens
Greece,GRC,2075,,6547.626,,Athens
Greece,GRC,2080,,6414.5317,,Athens
Greece,GRC,2085,,6311.9653,,Athens
Greece,GRC,2090,,6231.8447,,Athens
Greece,GRC,2095,,6117.404,,Athens
Greece,GRC,2100,,5976.0713,,Athens
Guam,GUM,2075,,1747.0691,,
Guam,GUM,2080,,1757.5,,
Guam,GUM,2085,,1764.3916,,
Guam,GUM,2090,,1766.0043,,
Guam,GUM,2095,,1763.3127,,
Guam,GUM,2100,,1755,,
Guatemala,GTM,1975,4307.8076,,Guatemala City,
Guatemala,GTM,1980,4194.3647,,Guatemala City,
Guatemala,GTM,1985,4459.271,,Guatemala City,
Guatemala,GTM,1990,4814.953,,Guatemala City,
Guatemala,GTM,1995,4946.434,,Guatemala City,
Guatemala,GTM,2000,5582.0864,,Guatemala City,
Guatemala,GTM,2005,6188.238,,Guatemala City,
Guatemala,GTM,2010,6226.6055,,Guatemala City,
Guatemala,GTM,2015,6302.6016,,Guatemala City,
Guatemala,GTM,2020,6051.1675,6051.1675,Guatemala City,Guatemala City
Guatemala,GTM,2025,,6195.869,,Guatemala City
Guatemala,GTM,2030,,6180.278,,Guatemala City
Guatemala,GTM,2035,,6134.0635,,Guatemala City
Guatemala,GTM,2040,,6192.285,,Guatemala City
Guatemala,GTM,2045,,6066.936,,Guatemala City
Guatemala,GTM,2050,,6029.306,,Guatemala City
Guatemala,GTM,2055,,5982.987,,Guatemala City
Guatemala,GTM,2060,,5963.231,,Guatemala City
Guatemala,GTM,2065,,5971.649,,Guatemala City
Guatemala,GTM,2070,,5957.218,,Guatemala City
Guatemala,GTM,2075,,5932.7305,,Guatemala City
Guatemala,GTM,2080,,5873.1826,,Guatemala City
Guatemala,GTM,2085,,5807.0605,,Guatemala City
Guatemala,GTM,2090,,5731.183,,Guatemala City
Guatemala,GTM,2095,,5644.6997,,Guatemala City
Guatemala,GTM,2100,,5545.1104,,Guatemala City
Guinea-Bissau,GNB,1975,2280.207,,Bissau,
Guinea-Bissau,GNB,1980,2955.3608,,Bissau,
